Drill Listing
=============
Drill: .014  Tool: 1  Feed: 95  Speed: 300
X 135846  Y 186915
X 135500  Y 212569
X 228787  Y 173005
X 212360  Y 167277
X 214948  Y 163753
X 228787  Y 157954
X 210000  Y 145000
X 347500  Y 105000
X 357500  Y 135000
X 332500  Y 147500
X 342500  Y 147500
X 362500  Y 202500
X 375000  Y 202500
X 382500  Y 202500
X 362500  Y 165000
X 362500  Y 154000
X 367500  Y 142500
X 412153  Y 108611
X 422500  Y 112500
X 431879  Y 130819
X 385000  Y 160000
X 395000  Y 165000
X 422500  Y 194278
X 405000  Y 202500
X 462500  Y 187500
X 437500  Y 162500
X 441789  Y 149830
X 444181  Y 143122
X 472500  Y 127500
X 457500  Y 125000

Drill: .032  Tool: 2  Feed: 197  Speed: 550
X 463015  Y 146358
X 463015  Y 163681

Drill: .035  Tool: 3  Feed: 197  Speed: 550
X 110000  Y 110000
X 120000  Y 110000
X 130000  Y 110000
X 110000  Y 230000
X 120000  Y 230000
X 130000  Y 230000
X 140000  Y 230000
X 150000  Y 230000
X 180000  Y 230000
X 170000  Y 230000
X 170000  Y 152500
X 150900  Y 152338
X 140000  Y 110000
X 150000  Y 110000
X 170000  Y 110000
X 180000  Y 110000
X 190000  Y 110000
X 200000  Y 110000
X 210000  Y 110000
X 220000  Y 110000
X 230000  Y 110000
X 188000  Y 152500
X 220000  Y 230000
X 210000  Y 230000
X 230000  Y 230000
X 200000  Y 230000
X 190000  Y 230000
X 240000  Y 230000
X 250000  Y 230000
X 280000  Y 230000
X 260000  Y 230000
X 240000  Y 110000
X 280000  Y 110000
X 260000  Y 110000
X 250000  Y 110000
X 290000  Y 110000
X 290000  Y 230000
X 377000  Y 225000
X 407000  Y 225000
X 397000  Y 225000
X 387000  Y 225000
X 472900  Y 203000
X 472900  Y 213000
X 472900  Y 223000
X 417000  Y 225000
X 472900  Y 233000

Drill: .04  Tool: 4  Feed: 139  Speed: 550
X 111641  Y 142188
X 129358  Y 142188
X 111641  Y 165811
X 129358  Y 165811
X 280000  Y 190000
X 280000  Y 180000
X 280000  Y 170000
X 280000  Y 160000
X 280000  Y 150000
X 290000  Y 150000
X 312000  Y 150000
X 322000  Y 150000
X 312000  Y 160000
X 322000  Y 160000
X 290000  Y 160000
X 312000  Y 170000
X 322000  Y 170000
X 290000  Y 170000
X 312000  Y 180000
X 322000  Y 180000
X 290000  Y 180000
X 322000  Y 190000
X 312000  Y 190000
X 290000  Y 190000

End of Listing
